,Filename,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,Largest Included Sphere,Largest Free Sphere,Included Sphere Along Free Sphere Path
6698,xiwvor_P1,1001.79,732.008,626.876,4.46952,3.48618,4.42984
6699,xiyzir_P1_charged,578.3,1581.36,1925.55,10.86169,10.56488,10.86169
6700,xizwip_P1,940.457,1511.72,1294.17,4.45453,3.78322,4.41794
6701,xobbuo_P1,375.87,1403.82,1116.74,7.93428,6.42858,7.92994
6704,xocrep_P1,508.127,858.432,572.814,5.35016,5.0436,5.35016
6707,xofyoi_P1,839.652,1612.29,1481.2,6.04182,4.75109,6.04182
6708,xofyuo_P1,743.299,1470.34,1269.5,4.83669,3.74564,4.82856
6709,xoghaf_P1_charged,664.943,1653.67,1839.96,8.46723,4.12513,6.29197
6711,xohjua_P1,58.2272,344.54,163.956,3.59955,3.06666,3.5637
6717,xokhah_P1_H,267.67,522.345,332.958,3.7149,3.02425,3.71049
6720,xomcin_P1,1183.35,1834.77,1703.47,5.94246,4.00147,5.93722
6721,xomcot_P1,942.579,1364.81,1209.85,4.8748,3.64387,4.86231
6722,xomjoy_P1,891.374,812.823,619.289,6.10482,3.8452,5.98713
6723,xomjue_P1,871.717,804.624,600.088,6.08739,3.76968,6.07536
6725,xopmia_P1,737.323,2017.03,1917.66,5.53948,4.71058,5.5345
6726,xopvii_P1,235.337,1798.81,1695.12,6.63855,4.66605,6.63855
6728,xordug_P1_charged_H,4831.08,1876.28,1754.1,9.72457,2.84886,9.07521
6729,xorgui_P1,133.301,1062.92,618.292,4.06545,3.22382,4.05413
6730,xotgui_P1_charged_H,213.513,1561.27,879.981,4.542,4.02482,4.53831
6731,xotseg_P1,484.524,955.848,926.706,8.78779,6.45971,8.77693
6732,xotsik_P1_H,2830.16,1426.34,1308.56,8.84915,7.38334,8.82037
6734,xotxub_P1,143.207,566.251,431.703,4.27845,3.47607,4.26456
6736,xovpih_P1,50.6712,646.756,388.889,3.67761,3.02816,3.55892
6737,xovpon_P1,141.41,1542.25,1085.28,5.68008,4.13919,5.68008
